id,code,title_en,title_ko,released_on,country,fscreen,preview,ani,naver,youtube,fweek,expectation,percent_error,URL,created_at,updated_at
86,20136926,Frances Ha,프란시스 하,2014-07-17,미국,63,2761,0,260,4626,24855,12336.5137504,50.3660681939248,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=98738,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
200,20159901,X Plus Y,네이든,2015-06-25,영국,49,1277,0,482,4317,7435,3603.2639058,51.5364639435104,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=116216,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
67,20163164,Born to Be Blue,본 투 비 블루,2016-06-09,캐나다,138,4697,0,851,8792,31757,48464.2288488,52.6095942589036,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=126078,2016-12-21 16:05:32 UTC,2016-12-21 16:05:32 UTC
165,20166172,Irrational Man,이레셔널 맨,2016-07-21,미국,39,717,0,378,18213,10210,4744.3155042,53.5326591165524,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=125434,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
32,20158062,Shaun the Sheep Movie,숀더쉽,2015-08-13,영국,263,6318,1,1243,4887,67479,104173.3240478,54.3788794258955,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=129164,2016-12-21 16:05:32 UTC,2016-12-21 16:05:32 UTC
128,20162572,THE WAVE,더 웨이브,2016-07-13,노르웨이,122,1190,0,724,2047,14609,22585.2549978,54.5982271052091,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=142333,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
224,20157588,Testament of Youth,청춘의 증언,2015-04-09,영국,83,1103,0,395,2191,5995,9289.9010754,54.9608186055046,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=123299,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
20,20159510,The Hateful Eight,헤이트풀8,2016-01-07,미국,153,926,0,973,18041,89153,39961.8790674,55.1760691537021,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=124238,2016-12-21 16:05:32 UTC,2016-12-21 16:05:32 UTC
11,20148728,The 100 year old man who climbed out the window and disappeard,창문 넘어 도망친 100세 노인,2014-06-18,스웨덴,260,2358,0,754,488,139264,62255.4347232,55.2968213442096,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=123050,2016-12-21 16:05:32 UTC,2016-12-21 16:05:32 UTC
136,20169034,Flying Colors,"불량소녀, 너를 응원해!",2016-09-21,일본,128,516,0,788,1141,13440,20946.8299174,55.854389266369,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=138877,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
260,20162762,The Clan,클랜,2016-05-12,아르헨티나,58,1246,0,237,1599,4371,1884.3014726,56.8908379638526,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=143545,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
4,20151815,Mune,뮨: 달의 요정,2015-09-24,프랑스,230,1963,1,747,14211,178075,74865.5101674,57.9584387660256,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=140139,2016-12-21 16:05:32 UTC,2016-12-21 16:05:32 UTC
122,20155010,Mortadelo and Filemon: Mission Implausible,슈퍼 스파이: 수상한 임무,2015-10-15,스페인,98,1554,1,111,1210,16846,26781.307444,58.9772494598124,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=135655,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
99,20150862,The Lobster,더 랍스터,2015-10-29,영국,56,999,0,697,9095,21291,8623.972665,59.4947505283923,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=120793,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
29,20145085,St. Vincent,세인트 빈센트,2015-03-05,미국,281,9987,0,1009,6681,68975,110390.0502374,60.0435668537876,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=118367,2016-12-21 16:05:32 UTC,2016-12-21 16:05:32 UTC
164,20159063,The Trip to Italy,트립 투 이탈리아,2015-06-04,영국,47,2298,0,228,1445,10314,4081.965315,60.4230626817917,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=119272,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
117,20141781,Dive Olly Dive and The Pirate Treasure,꼬마잠수함 올리,2014-10-16,중국,127,700,1,63,314,17995,28939.7609136,60.8211220539039,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=101939,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
23,20163137,Our Times,나의 소녀시대,2016-05-12,대만,134,4659,0,7104,52149,81205,130957.4853026,61.2677609785112,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=142691,2016-12-21 16:05:32 UTC,2016-12-21 16:05:32 UTC
171,20147950,You're Next,유아 넥스트,2014-08-07,미국,78,2159,0,573,4585,9990,16174.801303,61.909922952953,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=87794,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
76,20142884,The Disappearance of Eleanor Rigby: Them,엘리노어 릭비: 그 남자 그 여자,2015-04-09,미국,212,1545,0,908,857,29632,47981.3723298,61.9241776788607,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=124290,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
7,20149970,Maya the Bee Movie,마야,2014-09-04,독일,178,3919,1,224,1195,156110,59390.491399,61.9559980789187,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=127707,2016-12-21 16:05:32 UTC,2016-12-21 16:05:32 UTC
51,20145103,Nightcrawler,나이트 크롤러,2015-02-26,미국,225,3826,0,895,22752,45567,73828.5190588,62.0218997493801,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=117786,2016-12-21 16:05:32 UTC,2016-12-21 16:05:32 UTC
262,20163321,Mr. Holmes,미스터 홈즈,2016-05-26,영국,57,452,0,691,570,4330,1629.096224,62.3765306235566,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=124271,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
148,20148602,Yves Saint Laurent,이브 생 로랑,2014-06-26,프랑스,51,1373,0,577,2329,12034,4437.0507886,63.1290444690045,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=119457,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
64,20144183,Samba,"웰컴, 삼바",2015-02-18,프랑스,252,1469,0,685,2036,34239,56080.8682104,63.7923660457374,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=123269,2016-12-21 16:05:32 UTC,2016-12-21 16:05:32 UTC
140,20164747,Little Fox,리틀 폭스,2016-06-23,중국,97,496,1,163,305,12888,21407.402805,66.1033737197393,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=150545,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
285,20158771,Two Night Stand,투 나잇 스탠드,2015-05-07,미국,38,1555,0,236,6886,3545,1181.1551744,66.6810952214386,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=125478,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
70,20140196,Frank,프랭크,2014-09-25,영국,194,1362,0,1224,12516,31091,51842.5396064,66.7445228728571,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=102958,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
27,20144481,Predestination,타임 패러독스,2015-01-07,호주,229,5619,0,1321,86813,72929,121691.7881342,66.8633714080818,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=118347,2016-12-21 16:05:32 UTC,2016-12-21 16:05:32 UTC
146,20149343,Nymphomaniac vol.2,님포매니악 볼륨2,2014-07-03,덴마크,53,807,0,127,13796,12331,3904.8539544,68.3330309431514,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=98447,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
131,20147970,The Great Beauty,그레이트 뷰티,2014-06-12,이탈리아,51,2189,0,237,694,13998,4240.9587316,69.7031095042149,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=104072,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
82,20148834,The Best Offer,베스트 오퍼,2014-06-12,이탈리아,175,4102,0,351,203,26597,45415.4657862,70.7540917629808,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=101248,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
95,20147649,Belle and Sebastien,벨과 세바스찬,2014-03-20,프랑스,176,2704,0,226,2271,22662,38748.6015114,70.9849153269791,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=117888,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
94,20149878,Postman Pat: The Movie,행복배달부 팻아저씨,2014-10-09,영국,155,1208,1,214,2995,24156,41304.382677,70.9901584575261,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=97859,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
96,20165130,I'm Off Then,나의 산티아고,2016-07-14,독일,81,636,0,473,702,22444,6483.6279648,71.1119766316165,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=146311,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
75,20157394,It Follows,팔로우,2015-04-02,미국,188,1302,0,749,23185,29810,51104.821981,71.4351626333445,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=127043,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
232,20161502,Louder Than Bombs,라우더 댄 밤즈,2016-10-27,노르웨이,55,1091,0,385,1032,5411,1514.4581208,72.0114928700795,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=113356,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
225,20144522,The Vatican Museums 3D,바티칸 뮤지엄,2015-01-08,이탈리아,49,1529,0,242,2721,5976,1653.8250234,72.3255518172691,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=133397,2016-12-21 16:05:33 UTC,2016-12-21 16:05:33 UTC
62,20163043,Ratchet and Clank,갤럭시 히어로즈: 라쳇 앤 클랭크,2016-08-17,미국,228,2156,1,347,1045,37343,64434.674809,72.5482012934151,http://movie.naver.com/movie/bi/mi/photoViewPopup.nhn?movieCode=115620,2016-12-21 16:05:32 UTC,2016-12-21 16:05:32 UTC
